complaint_text,ipc_sections
He misused my phone entrusted to him and did not give it back. It happened suddenly.,"406,420"
He slapped me and I was injured. Please register a case.,323
He broke my cell phone intentionally. I request legal action.,427
He followed me and touched me without consent.,354
He misused my two-wheeler entrusted to him and did not give it back.,406
"After marriage, my husband demanded dowry and treated me cruelly.",498A
"They defrauded me of ₹50,000 using fake documents.","420,468"
The accused kept my two-wheeler and is not returning it.,"406,420"
"He collected ₹1,00,000 from me by giving false promises. I request legal action.",420
They assaulted me and I suffered simple injuries.,323
He misused my two-wheeler entrusted to him and did not give it back. The accused escaped immediately.,406
They used force and took my gold chain from me.,"392,506"
He followed me and touched me without consent.,"354,506"
"He collected ₹25,000 from me by giving false promises.",420
Someone forged my documents and used them for loan. I request legal action.,"468,471"
They used fake certificates to obtain government benefit.,471
"He cheated me by taking ₹2,00,000 for a job and never returned it. I request legal action.",420
He gave death threats and warned me not to complain.,506
He misused my cash entrusted to him and did not give it back.,406
He sexually harassed me in public and tried to molest me.,"354,506"
"They defrauded me of ₹1,00,000 using fake documents. The accused escaped immediately.",420
"He cheated me by taking ₹50,000 for a job and never returned it.","420,468"
The accused submitted fake documents as original. Please register a case.,471
They intimidated my family if we take legal action. Please register a case.,506
He beat me with his hand and caused wound.,"323,506"
He intimidated to kill me if I report to police. I request legal action.,506
Someone forged my documents and used them for loan. I request legal action.,468
"They defrauded me of ₹25,000 using fake documents. Please register a case.",420
He warned to kill me if I report to police. I request legal action.,506
My two-wheeler got stolenn near parking at evening. I request legal action.,"379,411"
The accused threatened me with serious consequences.,506
He used a forged document as genuine for a loan. Please register a case.,471
My bag got snatchedn near shop at night. I request legal action.,379
They used force and took my gold chain from me. Please register a case.,392
He assaulted me with his hand and caused wound.,"323,506"
The accused kept my vehicle and is not returning it.,406
The accused insulted me and provoked me.,504
I gave my phone for safekeeping but he cheated and kept it.,"406,420"
My in-laws are mentally and physically harassing me for money. The accused escaped immediately.,498A
He assaulted me with his hand and caused hurt. Please register a case.,323
"He collected ₹10,000 from me by giving false promises.",420
"After marriage, my husband demanded dowry and treated me cruelly. I request legal action.",498A
"He cheated me by taking ₹10,000 for a job and never returned it.","420,468"
Unknown person stolen my gold chain from railway premises. Please register a case.,379
He gave death threats and warned me not to complain.,506
The accused insulted me and provoked me.,504
My husband and in-laws harassed me for dowry and tortured me.,498A
Unknown persons intimidated me and snatched my wallet. Please register a case.,"392,506"
He sexually harassed me in public and tried to molest me. I request legal action.,354
He hit me with his hand and caused injury.,323
They made forged certificates to get benefits.,"468,471"
The accused broke my shop glass during a fight. Please register a case.,427
He misused my cash entrusted to him and did not give it back.,406
Someone stolen my smartphone from local market while I was waiting. The accused escaped immediately.,379
He warned to kill me if I report to police. I request legal action.,506
The accused insulted me and provoked me. It happened suddenly.,"504,323"
I am facing domestic cruelty by my husband and his family. It happened suddenly.,"498A,406"
He damaged my car intentionally.,427
They assaulted me and I suffered simple injuries. I request legal action.,323
The accused tried to force physical contact and misbehaved with me. The accused escaped immediately.,"354,506"
"He cheated me by taking ₹1,00,000 for a job and never returned it. The accused escaped immediately.",420
"A person took ₹1,00,000 promising a public business profit and later blocked me.",420
My friend took my cash and refused to return it.,406
He gave death threats and warned me not to complain.,506
A man touched me inappropriately and outraged my modesty. The accused escaped immediately.,"354,506"
"He cheated me by taking ₹50,000 for a job and never returned it. Please register a case.","420,468"
He followed me and touched me without consent.,354
He gave death threats and warned me not to complain. Please register a case.,506
"They defrauded me of ₹25,000 using fake documents.",420
They made forged certificates to get benefits. The accused escaped immediately.,"468,471"
My in-laws are mentally and physically harassing me for money. It happened suddenly.,498A
They assaulted me and I suffered simple injuries.,323
They assaulted me and I suffered simple injuries. I request legal action.,323
